start,end,size,type,pinned_entry_tu,cdl_code_cs1,cdl_code_cs2,cdl_code_cs3,cdl_code_cs4,cdl_read_max,cdl_write_max,bp_attract,bp_threeseven,old_overlap,old_fn_count,old_sweep_dead_count,old_buckets,verdict,discrepancy
0x06030AFA,0x06030B7B,130,code,0,114,114,114,116,0,0,1,4,MERGED,2,0,,RETAIL_LIVE,
0x06030B7C,0x06030BA3,40,code,0,0,0,0,0,0,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x06030BA4,0x06030C23,128,code,0,0,0,0,0,24,0,0,1,MERGED,2,1,B1,RETAIL_LIVE,
0x06030C24,0x06030C59,54,code,0,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x06030C5A,0x06030C7B,34,code,0,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x06030C7C,0x06030C9D,34,code,0,0,0,0,0,0,0,2,2,EXACT,1,1,B1,RETAIL_LIVE,OLD_DEAD_BUT_RETAIL_RUNS
0x06030C9E,0x06030CE1,68,code,0,0,58,58,58,0,0,3,3,MULTI_MISMATCH,2,0,,RETAIL_LIVE,
0x06030CE2,0x06030CE5,4,code,0,0,0,0,0,0,0,1,1,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x06030CE6,0x06030D1F,58,code,0,26,26,26,26,0,0,0,3,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x06030D20,0x06030DA1,130,code,0,124,124,90,124,0,0,3,3,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x06030DA2,0x06030DA9,8,code,0,0,0,0,0,0,0,1,1,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x06030DAA,0x06030DAF,6,code,0,0,0,0,0,0,0,0,0,NEW_INSIDE_OLD,1,0,,RETAIL_DEAD,OLD_LIVE_BUT_RETAIL_DEAD
0x06030DB0,0x06030DED,62,code,0,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x06030DEE,0x06030E31,68,code,0,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x06030E32,0x06030E43,18,code,0,0,0,0,0,0,0,0,0,NEW_INSIDE_OLD,1,1,B1,RETAIL_DEAD,
0x06030E44,0x06030EC7,132,code,0,0,0,0,0,36,0,0,0,MULTI_MISMATCH,2,2,B1,RETAIL_DEAD,
0x06030EC8,0x06031007,320,code,0,0,0,0,0,0,0,0,4,MERGED,2,1,B1,RETAIL_LIVE,
0x06031008,0x060312DF,728,code,0,276,280,0,288,60,0,0,3,MERGED,2,0,,RETAIL_LIVE,
0x060312E0,0x060313FB,284,code,0,0,0,0,0,0,0,0,4,EXACT,1,0,,RETAIL_LIVE,
0x060313FC,0x06031649,590,code,0,168,184,116,168,28,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x0603164A,0x06031847,510,code,0,0,0,0,0,4,0,0,16,MERGED,3,2,B1,RETAIL_LIVE,
0x06031848,0x06031A07,448,code,0,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
0x06031A08,0x06031B0B,260,code,0,0,0,0,0,0,0,0,0,EXACT,1,1,B1,RETAIL_DEAD,
