addr,node,size,type,pinned_entry_tu,inbound_refs_pristine,zero_inbound,reach_pristine,reach_transplant,falls_into_next,entered_by_fallthrough,retail_verdict,leg_verdict,selfcheck
0x0602DD42,src/race/asm/FUN_0602DD42.c,14,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602DD50,src/race/asm/FUN_0602DD50.c,268,code,0,8,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602DE5C,src/race/asm/FUN_0602DE5C.c,132,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602DEE0,src/race/asm/FUN_0602DEE0.c,188,code,0,4,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602DF9C,src/race/asm/FUN_0602DF9C.c,160,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E03C,src/race/asm/FUN_0602E03C.c,88,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E094,src/race/asm/FUN_0602E094.c,108,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E100,src/race/asm/FUN_0602E100.c,358,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E266,src/race/asm/FUN_0602E266.c,268,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E372,src/race/asm/FUN_0602E372.c,130,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E3F4,src/race/asm/FUN_0602E3F4.c,324,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E538,src/race/asm/FUN_0602E538.c,94,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E596,src/race/asm/FUN_0602E596.c,18,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E5A8,src/race/asm/FUN_0602E5A8.c,24,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E5C0,src/race/asm/FUN_0602E5C0.c,24,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602E5D8,src/race/asm/FUN_0602E5D8.c,56,code,0,6,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602E610,src/race/asm/FUN_0602E610.c,290,code,0,6,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602E732,src/race/asm/FUN_0602E732.c,6,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
